category_list,status,country_code,funding_rounds,founded_year,success,startup_age,primary_industry
|Entertainment|Politics|Social Media|News|,acquired,USA,1.0,2012.0,1,14,
|Publishing|Education|,operating,EST,1.0,2012.0,0,14,
|Electronics|Guides|Coffee|Restaurants|Music|iPhone|Apps|Mobile|iOS|E-Commerce|,operating,GBR,1.0,2011.0,0,15,
|Tourism|Entertainment|Games|,operating,USA,2.0,2014.0,0,12,
|Curated Web|,operating,,1.0,2007.0,0,19,
|Software|,operating,USA,1.0,2010.0,0,16,
|E-Commerce|,operating,CHL,1.0,2012.0,0,14,
|Health and Wellness|,operating,USA,1.0,1986.0,0,40,
|Health and Wellness|,operating,USA,1.0,1984.0,0,42,
|Real Estate|,operating,USA,1.0,2013.0,0,13,
|Education|,operating,GBR,2.0,2013.0,0,13,
|E-Commerce|,operating,USA,4.0,2001.0,0,25,
|Search|,operating,USA,1.0,2008.0,0,18,
|Marketplaces|Art|E-Commerce|,acquired,,1.0,2009.0,1,17,
|Curated Web|,acquired,USA,2.0,2010.0,1,16,
|Curated Web|,operating,USA,6.0,2008.0,0,18,
|Local Businesses|Restaurants|,operating,FRA,4.0,2010.0,0,16,
|Media|Games|,operating,CHN,3.0,2009.0,0,17,
|Health Care Information Technology|,operating,USA,1.0,2014.0,0,12,
|Analytics|,acquired,USA,2.0,2011.0,1,15,
|Software|,operating,USA,1.0,2000.0,0,26,
|Fashion|,operating,CAN,1.0,2014.0,0,12,
|Curated Web|,closed,USA,1.0,2009.0,0,17,
|Social Commerce|E-Commerce|Mobile Commerce|,operating,,2.0,2013.0,0,13,
|Mobility|Enterprise Software|Software|,operating,AUS,1.0,2009.0,0,17,
|Biotechnology|,operating,USA,1.0,2012.0,0,14,
|Software|,operating,USA,1.0,2010.0,0,16,
|Social Travel|,operating,CHN,1.0,2011.0,0,15,
|Sports|,operating,,1.0,2013.0,0,13,
|Sports|,operating,USA,1.0,2013.0,0,13,
|Real Estate|,operating,USA,1.0,2011.0,0,15,
|Audio|Music|Mobile|,operating,AUS,2.0,2012.0,0,14,
|Politics|Technology|Medical Devices|Pharmaceuticals|Personalization|Software|,operating,USA,6.0,2011.0,0,15,
|Small and Medium Businesses|Education|Analytics|Internet Marketing|Business Services|Advertising|E-Commerce|,operating,,2.0,2012.0,0,14,
|SaaS|E-Commerce|,operating,ROM,1.0,2008.0,0,18,
|Software|,operating,GBR,1.0,2013.0,0,13,
Unknown,operating,FRA,1.0,2008.0,0,18,Unknown
|SaaS|Software|Retail|,operating,NLD,1.0,2010.0,0,16,
